Time (ms)	Vapor Fraction
0.333333333	0.566643555
0.666666667	0.564460938
1	0.562855469
1.333333333	0.565662109
1.666666667	0.563902344
2	0.563989258
2.333333333	0.563823242
2.666666667	0.559876953
3	0.569541992
3.333333333	0.559664063
3.666666667	0.55796875
4	0.557821289
4.333333333	0.548022461
4.666666667	0.546470703
5	0.548410156
5.333333333	0.546657227
5.666666667	0.546120117
6	0.548668945
6.333333333	0.544250977
6.666666667	0.546623047
7	0.549515625
7.333333333	0.550683594
7.666666667	0.54927832
8	0.551543945
8.333333333	0.551755859
8.666666667	0.554510742
9	0.556470703
9.333333333	0.555087891
9.666666667	0.554262695
10	0.549790039
10.33333333	0.546776367
10.66666667	0.550663086
11	0.550075195
11.33333333	0.55303125
11.66666667	0.553511719
12	0.552134766
12.33333333	0.552504883
12.66666667	0.558182617
13	0.551485352
13.33333333	0.559854492
13.66666667	0.556793945
14	0.566082031
14.33333333	0.572327148
14.66666667	0.577486328
15	0.57518457
15.33333333	0.582136719
15.66666667	0.584689453
16	0.583951172
16.33333333	0.586256836
16.66666667	0.588290039
17	0.587794922
17.33333333	0.586121094
17.66666667	0.58731543
18	0.590339844
18.33333333	0.590950195
18.66666667	0.594149414
19	0.59380957
19.33333333	0.595606445
19.66666667	0.59869043
20	0.605550781
20.33333333	0.604910156
20.66666667	0.604166992
21	0.606526367
21.33333333	0.605974609
21.66666667	0.609063477
22	0.607482422
22.33333333	0.606745117
22.66666667	0.605463867
23	0.604750977
23.33333333	0.605102539
23.66666667	0.603394531
24	0.602933594
24.33333333	0.604524414
24.66666667	0.603560547
25	0.605150391
25.33333333	0.605851563
25.66666667	0.606257813
26	0.604119141
26.33333333	0.604485352
26.66666667	0.603347656
27	0.603420898
27.33333333	0.600888672
27.66666667	0.5999375
28	0.599911133
28.33333333	0.598041992
28.66666667	0.596585938
29	0.595488281
29.33333333	0.593035156
29.66666667	0.588744141
30	0.583061523
30.33333333	0.581039063
30.66666667	0.581719727
31	0.580417969
31.33333333	0.578070313
31.66666667	0.576765625
32	0.572501953
32.33333333	0.56749707
32.66666667	0.563955078
33	0.562084961
33.33333333	0.560226563
33.66666667	0.558599609
34	0.55596582
34.33333333	0.553683594
34.66666667	0.550615234
35	0.546629883
35.33333333	0.545283203
35.66666667	0.543467773
36	0.541599609
36.33333333	0.538967773
36.66666667	0.535121094
37	0.535049805
37.33333333	0.533952148
37.66666667	0.533939453
38	0.531839844
38.33333333	0.529793945
38.66666667	0.528263672
39	0.527703125
39.33333333	0.526255859
39.66666667	0.524216797
40	0.523754883
40.33333333	0.524224609
40.66666667	0.523461914
41	0.522206055
41.33333333	0.519152344
41.66666667	0.52015332
42	0.512746094
42.33333333	0.516650391
42.66666667	0.516296875
43	0.516976563
43.33333333	0.516400391
43.66666667	0.518177734
44	0.516951172
44.33333333	0.515879883
44.66666667	0.51709375
45	0.516033203
45.33333333	0.513428711
45.66666667	0.511422852
46	0.508680664
46.33333333	0.5060625
46.66666667	0.506955078
47	0.504575195
47.33333333	0.504757813
47.66666667	0.494183594
48	0.493594727
48.33333333	0.490720703
48.66666667	0.489310547
49	0.494665039
49.33333333	0.492898438
49.66666667	0.492151367
50	0.489378906
50.33333333	0.488853516
50.66666667	0.489193359
51	0.481975586
51.33333333	0.484164063
51.66666667	0.484083984
52	0.492482422
52.33333333	0.485280273
52.66666667	0.48737793
53	0.491249023
53.33333333	0.492316406
53.66666667	0.48984668
54	0.491418945
54.33333333	0.493935547
54.66666667	0.496935547
55	0.495927734
55.33333333	0.499904297
55.66666667	0.497060547
56	0.502938477
56.33333333	0.499686523
56.66666667	0.506091797
57	0.502035156
57.33333333	0.503291016
57.66666667	0.499370117
58	0.503545898
58.33333333	0.502827148
58.66666667	0.508708008
59	0.510045898
59.33333333	0.516003906
59.66666667	0.514348633
60	0.519030273
60.33333333	0.523832031
60.66666667	0.521535156
61	0.520651367
61.33333333	0.523220703
61.66666667	0.522308594
62	0.525643555
62.33333333	0.531057617
62.66666667	0.525179688
63	0.52674707
63.33333333	0.538484375
63.66666667	0.533398438
64	0.538629883
64.33333333	0.533285156
64.66666667	0.539011719
65	0.537084961
65.33333333	0.542081055
65.66666667	0.543176758
66	0.547650391
66.33333333	0.546682617
66.66666667	0.549634766
67	0.550234375
67.33333333	0.554300781
67.66666667	0.546887695
68	0.545462891
68.33333333	0.543376953
68.66666667	0.543713867
69	0.542608398
69.33333333	0.547415039
69.66666667	0.542802734
70	0.542612305
70.33333333	0.541546875
70.66666667	0.54425293
71	0.540963867
71.33333333	0.543249023
71.66666667	0.544241211
72	0.546214844
72.33333333	0.546229492
72.66666667	0.54372168
73	0.545541016
73.33333333	0.54909375
73.66666667	0.548233398
74	0.557874023
74.33333333	0.559716797
74.66666667	0.560833008
75	0.563069336
75.33333333	0.561001953
75.66666667	0.55830957
76	0.559884766
76.33333333	0.560110352
76.66666667	0.556774414
77	0.554773438
77.33333333	0.562288086
77.66666667	0.558955078
78	0.556994141
78.33333333	0.556525391
78.66666667	0.562511719
79	0.557523438
79.33333333	0.557573242
79.66666667	0.561051758
80	0.560764648
80.33333333	0.562038086
80.66666667	0.564797852
81	0.56787793
81.33333333	0.565288086
81.66666667	0.569892578
82	0.573286133
82.33333333	0.571841797
82.66666667	0.576588867
83	0.578067383
83.33333333	0.581058594
83.66666667	0.580723633
84	0.581428711
84.33333333	0.574802734
84.66666667	0.577125
85	0.577006836
85.33333333	0.575852539
85.66666667	0.576147461
86	0.57444043
86.33333333	0.579388672
86.66666667	0.581577148
87	0.584500977
87.33333333	0.584704102
87.66666667	0.584040039
88	0.582420898
88.33333333	0.583859375
88.66666667	0.583710938
89	0.580900391
89.33333333	0.576013672
89.66666667	0.574080078
90	0.572484375
90.33333333	0.572573242
90.66666667	0.573010742
91	0.572357422
91.33333333	0.569075195
91.66666667	0.573318359
92	0.564930664
92.33333333	0.567898438
92.66666667	0.569896484
93	0.568270508
93.33333333	0.566701172
93.66666667	0.565546875
94	0.565067383
94.33333333	0.563255859
94.66666667	0.560847656
95	0.557679688
95.33333333	0.555454102
95.66666667	0.555003906
96	0.554754883
96.33333333	0.552182617
96.66666667	0.554018555
97	0.550663086
97.33333333	0.553738281
97.66666667	0.553259766
98	0.5479375
98.33333333	0.548466797
98.66666667	0.546716797
99	0.545203125
99.33333333	0.542806641
99.66666667	0.529693359
100	0.528474609
100.3333333	0.525200195
100.6666667	0.525848633
101	0.520116211
101.3333333	0.521860352
101.6666667	0.527915039
102	0.530119141
102.3333333	0.527992188
102.6666667	0.521425781
103	0.524636719
103.3333333	0.52359082
103.6666667	0.516094727
104	0.516496094
104.3333333	0.513022461
104.6666667	0.506911133
105	0.507516602
105.3333333	0.499348633
105.6666667	0.497882813
106	0.493969727
106.3333333	0.495227539
106.6666667	0.494374023
107	0.498511719
107.3333333	0.49478125
107.6666667	0.496532227
108	0.483810547
108.3333333	0.482918945
108.6666667	0.483246094
109	0.478324219
109.3333333	0.482518555
109.6666667	0.473605469
110	0.472136719
110.3333333	0.470837891
110.6666667	0.467827148
111	0.466407227
111.3333333	0.464134766
111.6666667	0.461955078
112	0.46184082
112.3333333	0.457655273
112.6666667	0.459182617
113	0.459192383
113.3333333	0.46071582
113.6666667	0.452219727
114	0.451636719
114.3333333	0.454964844
114.6666667	0.455304688
115	0.455120117
115.3333333	0.456588867
115.6666667	0.455652344
116	0.455615234
116.3333333	0.459191406
116.6666667	0.459879883
117	0.459947266
117.3333333	0.461233398
117.6666667	0.461397461
118	0.462577148
118.3333333	0.464370117
118.6666667	0.464425781
119	0.462787109
119.3333333	0.464616211
119.6666667	0.466539063
120	0.468374023
120.3333333	0.471839844
120.6666667	0.474254883
121	0.474320313
121.3333333	0.475367188
121.6666667	0.47477832
122	0.474603516
122.3333333	0.477555664
122.6666667	0.480008789
123	0.480679688
123.3333333	0.482408203
123.6666667	0.484100586
124	0.485301758
124.3333333	0.485044922
124.6666667	0.485541016
125	0.486882813
125.3333333	0.488860352
125.6666667	0.488902344
126	0.490589844
126.3333333	0.492698242
126.6666667	0.491621094
127	0.493800781
127.3333333	0.494311523
127.6666667	0.498785156
128	0.498206055
128.3333333	0.49912793
128.6666667	0.501426758
129	0.506092773
129.3333333	0.507490234
129.6666667	0.505858398
130	0.508287109
130.3333333	0.511380859
130.6666667	0.517297852
131	0.516255859
131.3333333	0.518012695
131.6666667	0.518231445
132	0.519360352
132.3333333	0.520683594
132.6666667	0.520506836
133	0.521213867
133.3333333	0.52359082
133.6666667	0.525860352
134	0.528787109
134.3333333	0.532825195
134.6666667	0.533810547
135	0.535636719
135.3333333	0.535555664
135.6666667	0.535050781
136	0.535817383
136.3333333	0.541015625
136.6666667	0.539785156
137	0.544571289
137.3333333	0.541892578
137.6666667	0.542022461
138	0.54396582
138.3333333	0.543360352
138.6666667	0.543300781
139	0.54477832
139.3333333	0.546027344
139.6666667	0.546958984
140	0.54840332
140.3333333	0.547866211
140.6666667	0.548779297
141	0.550518555
141.3333333	0.550175781
141.6666667	0.551195313
142	0.551464844
142.3333333	0.552413086
142.6666667	0.552588867
143	0.562373047
143.3333333	0.563211914
143.6666667	0.566923828
144	0.565273438
144.3333333	0.565851563
144.6666667	0.566017578
145	0.565161133
145.3333333	0.558287109
145.6666667	0.557894531
146	0.553892578
146.3333333	0.555073242
146.6666667	0.552844727
147	0.55152832
147.3333333	0.551743164
147.6666667	0.553196289
148	0.554396484
148.3333333	0.555161133
148.6666667	0.554860352
149	0.555578125
149.3333333	0.55796875
149.6666667	0.557821289
150	0.557624023
150.3333333	0.556185547
150.6666667	0.560360352
151	0.563786133
151.3333333	0.56334668
151.6666667	0.563498047
152	0.564246094
152.3333333	0.563802734
152.6666667	0.564320313
153	0.563378906
153.3333333	0.562276367
153.6666667	0.552932617
154	0.548675781
154.3333333	0.549013672
154.6666667	0.547091797
155	0.55255957
155.3333333	0.54871875
155.6666667	0.549356445
156	0.545745117
156.3333333	0.54694043
156.6666667	0.548430664
157	0.548504883
157.3333333	0.544734375
157.6666667	0.544630859
158	0.547780273
158.3333333	0.543369141
158.6666667	0.544765625
159	0.542803711
159.3333333	0.545057617
159.6666667	0.541472656
160	0.546210938
160.3333333	0.539978516
160.6666667	0.537959961
161	0.537579102
161.3333333	0.541120117
161.6666667	0.539415039
162	0.536073242
162.3333333	0.538337891
162.6666667	0.534328125
163	0.537641602
163.3333333	0.534317383
163.6666667	0.534726563
164	0.533837891
164.3333333	0.525222656
164.6666667	0.524037109
165	0.524400391
165.3333333	0.524044922
165.6666667	0.518224609
166	0.523306641
166.3333333	0.524511719
166.6666667	0.524265625
167	0.524741211
167.3333333	0.519672852
167.6666667	0.517345703
168	0.514008789
168.3333333	0.51350293
168.6666667	0.509901367
169	0.510197266
169.3333333	0.524508789
169.6666667	0.524106445
170	0.520076172
170.3333333	0.506914063
170.6666667	0.507094727
171	0.508456055
171.3333333	0.507445313
171.6666667	0.505884766
172	0.505838867
172.3333333	0.50715332
172.6666667	0.50355957
173	0.499491211
173.3333333	0.499588867
173.6666667	0.497514648
174	0.495263672
174.3333333	0.492900391
174.6666667	0.493079102
175	0.494482422
175.3333333	0.487585938
175.6666667	0.487307617
176	0.486505859
176.3333333	0.486051758
176.6666667	0.483472656
177	0.482680664
177.3333333	0.485807617
177.6666667	0.481651367
178	0.481070313
178.3333333	0.480875977
178.6666667	0.480417969
179	0.479654297
179.3333333	0.477186523
179.6666667	0.478186523
180	0.476610352
180.3333333	0.480525391
180.6666667	0.478399414
181	0.480612305
181.3333333	0.481700195
181.6666667	0.483958984
182	0.486722656
182.3333333	0.488923828
182.6666667	0.490461914
183	0.497779297
183.3333333	0.498040039
183.6666667	0.502104492
184	0.504958008
184.3333333	0.509102539
184.6666667	0.514636719
185	0.515389648
185.3333333	0.515842773
185.6666667	0.519352539
186	0.521799805
186.3333333	0.524538086
186.6666667	0.525178711
187	0.526984375
